2026-09-02T03:01:32.874205342Z I0902 03:01:32.873938       1 serving.go:411] Generated self-signed cert in-memory
2026-09-02T03:01:33.404451146Z E0902 03:01:33.404372       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSIStorageCapacity: csistoragecapacities.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csistoragecapacities\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSIStorageCapacity"
2026-09-02T03:01:33.404451772Z E0902 03:01:33.404401       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumeclaims\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PersistentVolumeClaim"
2026-09-02T03:01:33.404452980Z E0902 03:01:33.404412       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicaSet: replicasets.apps is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicasets\" in API group \"apps\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicaSet"
2026-09-02T03:01:33.405240060Z E0902 03:01:33.405190       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Node: nodes is forbidden: User \"system:kube-scheduler\" cannot list resource \"nodes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Node"
2026-09-02T03:01:33.405569962Z E0902 03:01:33.405409       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ResourceClaim: resourceclaims.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"resourceclaims\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ResourceClaim"
2026-09-02T03:01:33.405576213Z E0902 03:01:33.405448       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csidrivers\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSIDriver"
2026-09-02T03:01:33.405664315Z E0902 03:01:33.405579       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User \"system:kube-scheduler\" cannot list resource \"poddisruptionbudgets\" in API group \"policy\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PodDisruptionBudget"
2026-09-02T03:01:33.405754000Z E0902 03:01:33.405716       1 reflector.go:227] "Failed to watch" err="failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"storageclasses\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.StorageClass"
2026-09-02T03:01:33.405786340Z E0902 03:01:33.405743       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Pod: pods is forbidden: User \"system:kube-scheduler\" cannot list resource \"pods\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Pod"
2026-09-02T03:01:33.405808928Z E0902 03:01:33.405774       1 reflector.go:227] "Failed to watch" err="failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User \"system:kube-scheduler\" cannot list resource \"statefulsets\" in API group \"apps\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.StatefulSet"
2026-09-02T03:01:33.406006219Z E0902 03:01:33.405972       1 reflector.go:227] "Failed to watch" err="failed to list *v1.VolumeAttachment: volumeattachments.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"volumeattachments\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.VolumeAttachment"
2026-09-02T03:01:33.406069149Z E0902 03:01:33.405979       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceClass: deviceclasses.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"deviceclasses\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceClass"
2026-09-02T03:01:33.406072442Z E0902 03:01:33.406007       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ResourceSlice: resourceslices.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"resourceslices\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ResourceSlice"
2026-09-02T03:01:33.406330245Z E0902 03:01:33.406224       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceTaintRule: devicetaintrules.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"devicetaintrules\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceTaintRule"
2026-09-02T03:01:33.406348999Z E0902 03:01:33.406270       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PersistentVolume"
2026-09-02T03:01:33.406369420Z E0902 03:01:33.406339       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Service: services is forbidden: User \"system:kube-scheduler\" cannot list resource \"services\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Service"
2026-09-02T03:01:33.406404511Z E0902 03:01:33.406366       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicationcontrollers\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicationController"
2026-09-02T03:01:33.406405844Z E0902 03:01:33.406388       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csinodes\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSINode"
2026-09-02T03:01:33.406570045Z E0902 03:01:33.406503       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Namespace: namespaces is forbidden: User \"system:kube-scheduler\" cannot list resource \"namespaces\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Namespace"
2026-09-02T03:01:34.261165301Z E0902 03:01:34.261064       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicationcontrollers\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicationController"
2026-09-02T03:01:34.314188160Z E0902 03:01:34.314087       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Namespace: namespaces is forbidden: User \"system:kube-scheduler\" cannot list resource \"namespaces\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Namespace"
2026-09-02T03:01:34.380202344Z E0902 03:01:34.380079       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Pod: pods is forbidden: User \"system:kube-scheduler\" cannot list resource \"pods\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Pod"
2026-09-02T03:01:34.382692987Z E0902 03:01:34.382575       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csinodes\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSINode"
2026-09-02T03:01:34.704330778Z I0902 03:01:34.704165       1 shared_informer.go:531] "Caches are synced"
2026-09-02T03:01:37.631991037Z I0902 03:01:37.631884       1 leaderelection.go:258] "Attempting to acquire leader lease..." lock="kube-system/kube-scheduler"
2026-09-02T03:01:37.634659376Z I0902 03:01:37.634572       1 leaderelection.go:272] "Successfully acquired lease" lock="kube-system/kube-scheduler"
