2026-08-28T15:51:06.411776397Z I0828 15:51:06.411704       1 serving.go:411] Generated self-signed cert in-memory
2026-08-28T15:51:07.006331195Z E0828 15:51:07.006233       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PersistentVolume"
2026-08-28T15:51:07.006338403Z E0828 15:51:07.006234       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Pod: pods is forbidden: User \"system:kube-scheduler\" cannot list resource \"pods\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Pod"
2026-08-28T15:51:07.006343403Z E0828 15:51:07.006261       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumeclaims\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PersistentVolumeClaim"
2026-08-28T15:51:07.006344612Z E0828 15:51:07.006285       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceTaintRule: devicetaintrules.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"devicetaintrules\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceTaintRule"
2026-08-28T15:51:07.006345112Z E0828 15:51:07.006306       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Namespace: namespaces is forbidden: User \"system:kube-scheduler\" cannot list resource \"namespaces\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Namespace"
2026-08-28T15:51:07.006366112Z E0828 15:51:07.006322       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSIStorageCapacity: csistoragecapacities.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csistoragecapacities\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSIStorageCapacity"
2026-08-28T15:51:07.006367654Z E0828 15:51:07.006334       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csidrivers\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSIDriver"
2026-08-28T15:51:07.006368154Z E0828 15:51:07.006347       1 reflector.go:227] "Failed to watch" err="failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"storageclasses\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.StorageClass"
2026-08-28T15:51:07.006406279Z E0828 15:51:07.006306       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csinodes\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSINode"
2026-08-28T15:51:07.006410446Z E0828 15:51:07.006378       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Node: nodes is forbidden: User \"system:kube-scheduler\" cannot list resource \"nodes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Node"
2026-08-28T15:51:07.006421655Z E0828 15:51:07.006389       1 reflector.go:227] "Failed to watch" err="failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User \"system:kube-scheduler\" cannot list resource \"statefulsets\" in API group \"apps\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.StatefulSet"
2026-08-28T15:51:07.006723826Z E0828 15:51:07.006625       1 reflector.go:227] "Failed to watch" err="failed to list *v1.VolumeAttachment: volumeattachments.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"volumeattachments\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.VolumeAttachment"
2026-08-28T15:51:07.006732035Z E0828 15:51:07.006650       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ResourceSlice: resourceslices.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"resourceslices\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ResourceSlice"
2026-08-28T15:51:07.006732951Z E0828 15:51:07.006681       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User \"system:kube-scheduler\" cannot list resource \"poddisruptionbudgets\" in API group \"policy\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PodDisruptionBudget"
2026-08-28T15:51:07.821010950Z E0828 15:51:07.820905       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceTaintRule: devicetaintrules.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"devicetaintrules\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceTaintRule"
2026-08-28T15:51:07.865890030Z E0828 15:51:07.865778       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicationcontrollers\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicationController"
2026-08-28T15:51:07.866123242Z E0828 15:51:07.866068       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Node: nodes is forbidden: User \"system:kube-scheduler\" cannot list resource \"nodes\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Node"
2026-08-28T15:51:07.980592937Z E0828 15:51:07.980436       1 reflector.go:227] "Failed to watch" err="failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User \"system:kube-scheduler\" cannot list resource \"persistentvolumeclaims\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.PersistentVolumeClaim"
2026-08-28T15:51:08.405765969Z I0828 15:51:08.405677       1 shared_informer.go:531] "Caches are synced"
2026-08-28T15:51:10.447664380Z I0828 15:51:10.447566       1 leaderelection.go:258] "Attempting to acquire leader lease..." lock="kube-system/kube-scheduler"
2026-08-28T15:51:10.450255507Z I0828 15:51:10.450195       1 leaderelection.go:272] "Successfully acquired lease" lock="kube-system/kube-scheduler"
